"","n","step1_los","step1_sd","step2_los","step2_sd","step3_los","step3_sd","total_los","total_sd","dsterm","pathway"
"1",428,9.13084112149533,6.90257951599969,NA,NA,NA,NA,9.13084112149533,6.90257951599969,0,"Bed CC"
"2",298,8.13758389261745,8.51921161454171,7.41610738255034,6.04483882159008,NA,NA,15.5536912751678,11.09457976371,0,"Bed CC, Bed Ward"
"3",14052,9.86628237973242,10.6975079677425,NA,NA,NA,NA,9.86628237973242,10.6975079677425,0,"Bed Ward"
"4",500,3.514,4.4986976516679,8.762,6.5215348525993,NA,NA,12.276,7.5230989649261,0,"Bed Ward, Bed CC"
"5",536,3.06529850746269,3.84725039627801,6.69776119402985,5.91102839281137,6.68283582089552,6.89874458165407,16.4458955223881,11.1680812674577,0,"Bed Ward, Bed CC, Bed Ward"
"6",47,7.95744680851064,6.3415724521279,NA,NA,NA,NA,7.95744680851064,6.3415724521279,1,"Bed CC"
"7",266,7.8984962406015,7.45458182482456,7.3796992481203,5.56018541021785,NA,NA,15.2781954887218,10.1771875000265,1,"Bed CC, Bed Ward"
"8",9377,9.39863495787565,9.99197578298327,NA,NA,NA,NA,9.39863495787565,9.99197578298327,1,"Bed Ward"
"9",28,3.14285714285714,2.64874933050922,6.82142857142857,4.14598039541354,NA,NA,9.96428571428571,5.1745970883205,1,"Bed Ward, Bed CC"
"10",477,2.89098532494759,3.63986195280789,6.9853249475891,6.04932409493257,6.56603773584906,5.98863942182391,16.4423480083857,10.8175923254194,1,"Bed Ward, Bed CC, Bed Ward"
"11",381,9.2755905511811,6.96269438774772,NA,NA,NA,NA,9.2755905511811,6.96269438774772,4,"Bed CC"
"12",32,10.125,14.6876072405145,7.71875,9.25702653785656,NA,NA,17.84375,16.965067287356,4,"Bed CC, Bed Ward"
"13",4675,10.8042780748663,11.9341539129864,NA,NA,NA,NA,10.8042780748663,11.9341539129864,4,"Bed Ward"
"14",472,3.53601694915254,4.58590745206963,8.8771186440678,6.62089481533615,NA,NA,12.4131355932203,7.62168636840616,4,"Bed Ward, Bed CC"
"15",59,4.47457627118644,5.05267403496061,4.3728813559322,3.97361255371736,7.6271186440678,11.9854772826357,16.4745762711864,13.7882457840045,4,"Bed Ward, Bed CC, Bed Ward"
