"date","value_type","value"
2020-03-06,"Ward",1
2020-03-06,"admission",1
2020-03-07,"Ward",1
2020-03-08,"CC",1
2020-03-08,"Ward",1
2020-03-09,"CC",1
2020-03-10,"CC",2
2020-03-10,"Ward",1
2020-03-10,"admission",1
2020-03-11,"CC",2
2020-03-11,"Ward",2
2020-03-12,"CC",1
2020-03-12,"Ward",2
2020-03-12,"admission",1
2020-03-13,"CC",1
2020-03-13,"Ward",2
2020-03-14,"CC",2
2020-03-14,"Ward",7
2020-03-14,"admission",6
2020-03-15,"CC",2
2020-03-15,"Ward",8
2020-03-15,"admission",1
2020-03-16,"CC",1
2020-03-16,"Ward",11
2020-03-16,"admission",3
2020-03-17,"CC",1
2020-03-17,"Ward",15
2020-03-17,"admission",4
2020-03-18,"CC",1
2020-03-18,"Ward",16
2020-03-18,"admission",3
2020-03-19,"CC",1
2020-03-19,"Ward",19
2020-03-19,"admission",5
2020-03-20,"CC",1
2020-03-20,"Ward",21
2020-03-20,"admission",4
2020-03-21,"Ward",23
2020-03-21,"admission",6
2020-03-22,"CC",1
2020-03-22,"Ward",26
2020-03-22,"admission",6
2020-03-23,"CC",2
2020-03-23,"Ward",24
2020-03-23,"admission",4
2020-03-24,"CC",3
2020-03-24,"Ward",26
2020-03-24,"admission",7
2020-03-25,"CC",5
2020-03-25,"Ward",29
2020-03-25,"admission",8
2020-03-26,"CC",6
2020-03-26,"Ward",33
2020-03-26,"admission",8
2020-03-27,"CC",6
2020-03-27,"Ward",37
2020-03-27,"admission",11
2020-03-28,"CC",9
2020-03-28,"Ward",46
2020-03-28,"admission",12
2020-03-29,"CC",10
2020-03-29,"Ward",52
2020-03-29,"admission",11
2020-03-30,"CC",11
2020-03-30,"Ward",54
2020-03-30,"admission",9
2020-03-31,"CC",16
2020-03-31,"Ward",59
2020-03-31,"admission",10
2020-04-01,"CC",15
2020-04-01,"Ward",48
2020-04-01,"admission",4
2020-04-02,"CC",16
2020-04-02,"Ward",49
2020-04-02,"admission",13
2020-04-03,"CC",15
2020-04-03,"Ward",55
2020-04-03,"admission",11
2020-04-04,"CC",15
2020-04-04,"Ward",46
2020-04-04,"admission",4
2020-04-05,"CC",13
2020-04-05,"Ward",40
2020-04-05,"admission",5
2020-04-06,"CC",8
2020-04-06,"Ward",36
2020-04-06,"admission",3
2020-04-07,"CC",7
2020-04-07,"Ward",33
2020-04-07,"admission",3
2020-04-08,"CC",4
2020-04-08,"Ward",27
2020-04-08,"admission",3
2020-04-09,"CC",3
2020-04-09,"Ward",21
2020-04-10,"CC",2
2020-04-10,"Ward",16
2020-04-11,"CC",2
2020-04-11,"Ward",12
2020-04-11,"admission",1
2020-04-12,"CC",2
2020-04-12,"Ward",10
2020-04-13,"CC",2
2020-04-13,"Ward",6
2020-04-14,"CC",1
2020-04-14,"Ward",6
2020-04-15,"CC",1
2020-04-15,"Ward",4
2020-04-16,"Ward",3
2020-04-17,"Ward",1
